Run  RI  Mean      95% CI      SD        Best    % Correct 
27   0   13.92     0.653737    3.33539   23      40.3509 %
27   1   23.59     0.320182    1.63358   27      47.3684 %
27   2   26.97     0.0336035   0.171447  27      47.3684 %
27   3   27.81     0.27252     1.39041   28      49.1228 %
27   4   27.45     0.445187    2.27136   28      49.1228 %
27   5   27.81     0.204136    1.04151   28      49.1228 %
27   6   27.79     0.214517    1.09448   28      49.1228 %
27   7   28.55     0.185576    0.946818  29      50.8772 %
27   8   29.27     0.380808    1.9429    32      56.1404 %
27   9   31.75     0.218247    1.11351   32      56.1404 %
27   10  31.61     0.363115    1.85263   32      56.1404 %
27   11  31.77     0.2505      1.27806   33      57.8947 %
27   12  32.6      0.450063    2.29624   33      57.8947 %
27   13  32.56     0.404012    2.06128   33      57.8947 %
27   14  32.53     0.465703    2.37604   33      57.8947 %
27   15  32.59     0.366518    1.86999   33      57.8947 %
27   16  32.76     0.228234    1.16446   33      57.8947 %
27   17  32.78     0.282153    1.43956   33      57.8947 %
27   18  32.73     0.27838     1.42031   33      57.8947 %
27   19  32.44     0.435445    2.22166   34      59.6491 %
27   20  33.6      0.497564    2.53859   34      59.6491 %
27   21  33.59     0.495293    2.52701   34      59.6491 %
27   22  33.54     0.402182    2.05195   34      59.6491 %
27   23  33.67     0.288242    1.47062   34      59.6491 %
27   24  33.68     0.355539    1.81397   34      59.6491 %
27   25  33.68     0.274202    1.39899   34      59.6491 %
27   26  33.7      0.296791    1.51424   34      59.6491 %
27   27  34.79     0.25118     1.28153   35      61.4035 %
27   28  34.48     0.428401    2.18572   35      61.4035 %
27   29  34.45     0.516975    2.63763   35      61.4035 %
27   30  34.47     0.497919    2.5404    35      61.4035 %
27   31  34.71     0.334641    1.70735   35      61.4035 %
27   32  34.32     0.62472     3.18735   35      61.4035 %
27   33  34.69     0.375513    1.91588   35      61.4035 %
27   34  34.26     0.603065    3.07686   35      61.4035 %
27   35  34.14     0.688059    3.5105    35      61.4035 %
27   36  34.58     0.493004    2.51533   35      61.4035 %
27   37  34.8      0.262814    1.34089   35      61.4035 %
27   38  34.49     0.494823    2.52461   35      61.4035 %
27   39  34.53     0.42199     2.15301   35      61.4035 %
27   40  34.2      0.553671    2.82485   35      61.4035 %
27   41  34.04     0.659787    3.36626   35      61.4035 %
27   42  34.56     0.406883    2.07593   35      61.4035 %
27   43  34.81     0.21524     1.09816   35      61.4035 %
27   44  34.78     0.250073    1.27588   35      61.4035 %
27   45  34.53     0.35942     1.83377   35      61.4035 %
27   46  34.47     0.551885    2.81574   35      61.4035 %
27   47  34.42     0.569004    2.90308   35      61.4035 %
27   48  34.31     0.628939    3.20887   35      61.4035 %
27   49  34.94     0.0544484   0.277798  35      61.4035 %
27   50  34.36     0.440935    2.24967   35      61.4035 %
27   51  34.59     0.315297    1.60866   35      61.4035 %
27   52  34.18     0.661232    3.37364   35      61.4035 %
27   53  33.96     0.762379    3.88969   35      61.4035 %
27   54  34.42     0.482663    2.46257   35      61.4035 %
27   55  34.21     0.542553    2.76813   35      61.4035 %
27   56  34        0.714062    3.64318   35      61.4035 %
27   57  34.49     0.419259    2.13908   35      61.4035 %
27   58  34.25     0.616904    3.14747   35      61.4035 %
27   59  34.83     0.24295     1.23954   35      61.4035 %
27   60  34.69     0.27252     1.39041   35      61.4035 %
27   61  34.48     0.484509    2.47198   35      61.4035 %
27   62  34.28     0.581083    2.96471   35      61.4035 %
27   63  34.87     0.126609    0.645967  35      61.4035 %
27   64  34.71     0.292571    1.49271   35      61.4035 %
27   65  34.55     0.477974    2.43864   35      61.4035 %
27   66  34.54     0.38844     1.98184   35      61.4035 %
27   67  34.5      0.52894     2.69867   35      61.4035 %
27   68  34.57     0.420885    2.14737   35      61.4035 %
27   69  34.45     0.449524    2.29349   35      61.4035 %
27   70  34.71     0.291242    1.48593   35      61.4035 %
27   71  34.91     0.124881    0.63715   35      61.4035 %
27   72  34.32     0.552886    2.82085   35      61.4035 %
27   73  34.63     0.325661    1.66154   35      61.4035 %
27   74  34.47     0.377327    1.92514   35      61.4035 %
27   75  34.4      0.434267    2.21565   35      61.4035 %
27   76  34.44     0.45972     2.34551   35      61.4035 %
27   77  34.57     0.322789    1.64688   35      61.4035 %
27   78  34.36     0.635583    3.24277   35      61.4035 %
27   79  34.39     0.561255    2.86355   35      61.4035 %
27   80  34.6      0.351279    1.79224   35      61.4035 %
27   81  34.35     0.518474    2.64527   35      61.4035 %
27   82  34.69     0.269657    1.3758    35      61.4035 %
27   83  34.13     0.610124    3.11288   35      61.4035 %
27   84  34.98     0.0275782   0.140705  35      61.4035 %
27   85  33.59     0.801666    4.09013   35      61.4035 %
27   86  34.69     0.318481    1.6249    35      61.4035 %
27   87  34.7      0.26648     1.35959   35      61.4035 %
27   88  34.19     0.662004    3.37757   35      61.4035 %
27   89  34.63     0.386673    1.97282   35      61.4035 %
27   90  34.55     0.365755    1.8661    35      61.4035 %
27   91  34.63     0.332734    1.69762   35      61.4035 %
27   92  34.88     0.108897    0.555596  35      61.4035 %
27   93  34.79     0.219877    1.12182   35      61.4035 %
27   94  34.7      0.329034    1.67874   35      61.4035 %
27   95  34.49     0.459868    2.34626   35      61.4035 %
27   96  34.68     0.379813    1.93782   35      61.4035 %
27   97  34.52     0.498717    2.54447   35      61.4035 %
27   98  34.97     0.0588      0.3       35      61.4035 %
27   99  34.51     0.424776    2.16723   35      61.4035 %
27   100 34.54     0.453003    2.31124   35      61.4035 %
