Run  RI  Mean      95% CI      SD        Best    % Correct 
29   0   14.305    0.520462    3.75533   25      43.8596 %
29   1   25.575    0.131398    0.948087  29      50.8772 %
29   2   28.63     0.203874    1.47103   32      56.1404 %
29   3   31.61     0.263178    1.89893   34      59.6491 %
29   4   33.58     0.226759    1.63615   34      59.6491 %
29   5   16.11     0.97008     6.99949   35      61.4035 %
29   6   34.505    0.311301    2.24615   35      61.4035 %
29   7   35.31     0.219416    1.58317   36      63.1579 %
29   8   35.315    0.377852    2.72634   36      63.1579 %
29   9   35.28     0.406068    2.92994   36      63.1579 %
29   10  16.395    0.986567    7.11845   37      64.9123 %
29   11  36.395    0.217875    1.57205   37      64.9123 %
29   12  36.475    0.310661    2.24154   37      64.9123 %
29   13  36.41     0.41501     2.99445   38      66.6667 %
29   14  37.535    0.295679    2.13343   38      66.6667 %
29   15  16.47     1.05868     7.63877   38      66.6667 %
29   16  37.77     0.284306    2.05138   39      68.4211 %
29   17  38.135    0.419977    3.0303    39      68.4211 %
29   18  38.6      0.240652    1.7364    39      68.4211 %
29   19  38.43     0.333316    2.405     39      68.4211 %
29   20  16.875    1.09903     7.92993   39      68.4211 %
29   21  38.37     0.3703      2.67185   39      68.4211 %
29   22  37.815    0.518582    3.74176   39      68.4211 %
29   23  38.16     0.467972    3.3766    39      68.4211 %
29   24  38.115    0.462941    3.34029   39      68.4211 %
29   25  16.75     1.12797     8.13872   39      68.4211 %
29   26  38.365    0.356452    2.57193   39      68.4211 %
29   27  38.495    0.335477    2.42059   39      68.4211 %
29   28  38.085    0.465146    3.3562    39      68.4211 %
29   29  37.875    0.494351    3.56693   39      68.4211 %
29   30  16.375    1.12357     8.10697   39      68.4211 %
29   31  38.245    0.363509    2.62286   39      68.4211 %
29   32  38.515    0.300246    2.16639   39      68.4211 %
29   33  38.06     0.479021    3.45632   39      68.4211 %
29   34  38.405    0.327351    2.36196   39      68.4211 %
29   35  16.69     1.11321     8.03222   39      68.4211 %
29   36  37.82     0.580859    4.19111   39      68.4211 %
29   37  38.52     0.311909    2.25054   39      68.4211 %
29   38  38.45     0.311844    2.25007   39      68.4211 %
29   39  38.05     0.449522    3.24347   39      68.4211 %
29   40  16.075    1.13999     8.22543   39      68.4211 %
29   41  38.52     0.30312     2.18713   39      68.4211 %
29   42  37.965    0.506396    3.65384   39      68.4211 %
29   43  38.465    0.318619    2.29896   39      68.4211 %
29   44  38.13     0.454553    3.27977   39      68.4211 %
29   45  16.965    1.13187     8.16684   39      68.4211 %
29   46  37.915    0.54538     3.93512   39      68.4211 %
29   47  37.83     0.558727    4.03142   39      68.4211 %
29   48  38.115    0.448969    3.23948   39      68.4211 %
29   49  38.18     0.441945    3.1888    39      68.4211 %
29   50  16.545    1.04241     7.52136   39      68.4211 %
29   51  38.255    0.416358    3.00418   39      68.4211 %
29   52  38.05     0.481455    3.47388   39      68.4211 %
29   53  38.125    0.413786    2.98562   39      68.4211 %
29   54  37.77     0.586473    4.23162   39      68.4211 %
29   55  16.775    1.09776     7.92074   39      68.4211 %
29   56  38.135    0.508545    3.66935   39      68.4211 %
29   57  37.88     0.561389    4.05063   39      68.4211 %
29   58  38.295    0.422754    3.05033   39      68.4211 %
29   59  38.205    0.443153    3.19751   39      68.4211 %
29   60  16.735    1.05554     7.61609   39      68.4211 %
29   61  38.26     0.433228    3.1259    39      68.4211 %
29   62  37.91     0.506932    3.6577    39      68.4211 %
29   63  38.405    0.341777    2.46605   39      68.4211 %
29   64  38.035    0.530051    3.82451   39      68.4211 %
29   65  17.165    1.10007     7.93743   39      68.4211 %
29   66  38.1      0.448501    3.2361    39      68.4211 %
29   67  38.25     0.367011    2.64812   39      68.4211 %
29   68  38.21     0.408067    2.94436   39      68.4211 %
29   69  37.96     0.544506    3.92881   39      68.4211 %
29   70  16.75     1.06412     7.67804   39      68.4211 %
29   71  37.93     0.534427    3.85609   39      68.4211 %
29   72  38.625    0.277338    2.0011    39      68.4211 %
29   73  38.195    0.400693    2.89115   39      68.4211 %
29   74  37.915    0.533572    3.84992   39      68.4211 %
29   75  16.555    1.08157     7.80394   39      68.4211 %
29   76  38.315    0.400905    2.89268   39      68.4211 %
29   77  38.38     0.377847    2.72631   39      68.4211 %
29   78  38.245    0.429706    3.10049   39      68.4211 %
29   79  37.985    0.504123    3.63743   39      68.4211 %
29   80  38.36     0.363653    2.62389   39      68.4211 %
29   81  37.78     0.596501    4.30398   39      68.4211 %
29   82  38.48     0.332286    2.39757   39      68.4211 %
29   83  38.375    0.353259    2.54889   39      68.4211 %
29   84  37.435    0.664244    4.79277   39      68.4211 %
29   85  38.435    0.333914    2.40932   39      68.4211 %
29   86  38.195    0.460122    3.31995   39      68.4211 %
29   87  38.545    0.315245    2.27461   39      68.4211 %
29   88  38.345    0.398495    2.87529   39      68.4211 %
29   89  37.68     0.620703    4.4786    39      68.4211 %
29   90  37.95     0.531936    3.83812   39      68.4211 %
29   91  38.41     0.302556    2.18305   39      68.4211 %
29   92  38.355    0.36626     2.64271   39      68.4211 %
29   93  39.18     0.280564    2.02437   40      70.1754 %
29   94  39.05     0.542358    3.91332   40      70.1754 %
29   95  38.985    0.52144     3.76239   40      70.1754 %
29   96  39.305    0.431656    3.11456   40      70.1754 %
29   97  39.33     0.415456    2.99767   40      70.1754 %
29   98  38.73     0.593996    4.2859    40      70.1754 %
29   99  39.15     0.438875    3.16664   40      70.1754 %
29   100 39.38     0.403541    2.9117    40      70.1754 %
