Run  RI  Mean      95% CI      SD        Best    % Correct 
6    0   14.052    0.281503    3.21153   24      42.1053 %
6    1   23.062    0.0973164   1.11023   27      47.3684 %
6    2   27.536    0.0761234   0.868454  29      50.8772 %
6    3   28.95     0.0962562   1.09814   32      56.1404 %
6    4   32.196    0.115526    1.31798   34      59.6491 %
6    5   34.412    0.125144    1.4277    35      61.4035 %
6    6   35.112    0.185288    2.11386   37      64.9123 %
6    7   36.518    0.200959    2.29264   37      64.9123 %
6    8   36.672    0.132499    1.51162   37      64.9123 %
6    9   36.384    0.226852    2.58804   37      64.9123 %
6    10  36.746    0.205351    2.34275   38      66.6667 %
6    11  37.504    0.197954    2.25836   39      68.4211 %
6    12  38.498    0.218299    2.49046   39      68.4211 %
6    13  38.656    0.142716    1.62818   39      68.4211 %
6    14  38.422    0.229674    2.62024   39      68.4211 %
6    15  38.492    0.199116    2.27162   39      68.4211 %
6    16  38.252    0.267641    3.05338   39      68.4211 %
6    17  38.466    0.211179    2.40924   39      68.4211 %
6    18  38.438    0.217736    2.48405   39      68.4211 %
6    19  38.498    0.199581    2.27692   39      68.4211 %
6    20  38.374    0.242683    2.76866   39      68.4211 %
6    21  38.506    0.20536     2.34285   39      68.4211 %
6    22  38.54     0.202765    2.31324   39      68.4211 %
6    23  38.69     0.145077    1.65511   39      68.4211 %
6    24  38.234    0.296552    3.38321   39      68.4211 %
6    25  38.494    0.201958    2.30404   39      68.4211 %
6    26  38.45     0.2351      2.68214   39      68.4211 %
6    27  38.43     0.207284    2.3648    39      68.4211 %
6    28  38.592    0.187643    2.14072   39      68.4211 %
6    29  38.522    0.213584    2.43668   39      68.4211 %
6    30  38.584    0.173075    1.97452   39      68.4211 %
6    31  38.16     0.277441    3.16519   39      68.4211 %
6    32  38.334    0.274877    3.13594   39      68.4211 %
6    33  38.64     0.177888    2.02944   39      68.4211 %
6    34  38.424    0.204651    2.33476   39      68.4211 %
6    35  38.28     0.264474    3.01725   39      68.4211 %
6    36  38.528    0.19409     2.21428   39      68.4211 %
6    37  38.508    0.212       2.4186    39      68.4211 %
6    38  38.392    0.233702    2.66619   39      68.4211 %
6    39  38.524    0.199878    2.28031   39      68.4211 %
6    40  38.346    0.258418    2.94816   39      68.4211 %
6    41  38.566    0.197636    2.25473   39      68.4211 %
6    42  38.418    0.234046    2.67012   39      68.4211 %
6    43  38.516    0.189444    2.16127   39      68.4211 %
6    44  38.396    0.253377    2.89066   39      68.4211 %
6    45  38.458    0.235047    2.68153   39      68.4211 %
6    46  38.498    0.223733    2.55245   39      68.4211 %
6    47  38.49     0.226331    2.5821    39      68.4211 %
6    48  38.486    0.229974    2.62366   39      68.4211 %
6    49  38.604    0.191815    2.18832   39      68.4211 %
6    50  38.502    0.225105    2.56811   39      68.4211 %
6    51  38.368    0.254671    2.90542   39      68.4211 %
6    52  38.352    0.240356    2.7421    39      68.4211 %
6    53  38.592    0.168261    1.91961   39      68.4211 %
6    54  38.47     0.211985    2.41843   39      68.4211 %
6    55  38.386    0.227808    2.59894   39      68.4211 %
6    56  38.644    0.159711    1.82206   39      68.4211 %
6    57  38.308    0.25225     2.87779   39      68.4211 %
6    58  38.424    0.227727    2.59802   39      68.4211 %
6    59  38.444    0.233908    2.66854   39      68.4211 %
6    60  38.744    0.14111     1.60986   39      68.4211 %
6    61  38.54     0.184641    2.10648   39      68.4211 %
6    62  38.486    0.223936    2.55477   39      68.4211 %
6    63  38.35     0.249092    2.84177   39      68.4211 %
6    64  38.49     0.217944    2.48642   39      68.4211 %
6    65  38.482    0.211995    2.41855   39      68.4211 %
6    66  38.606    0.181495    2.07059   39      68.4211 %
6    67  38.186    0.285281    3.25463   39      68.4211 %
6    68  38.632    0.175496    2.00215   39      68.4211 %
6    69  38.39     0.253479    2.89182   39      68.4211 %
6    70  38.568    0.195122    2.22605   39      68.4211 %
6    71  38.392    0.220341    2.51376   39      68.4211 %
6    72  38.482    0.233163    2.66004   39      68.4211 %
6    73  38.42     0.22113     2.52276   39      68.4211 %
6    74  38.34     0.254184    2.89987   39      68.4211 %
6    75  38.506    0.206705    2.3582    39      68.4211 %
6    76  38.664    0.16062     1.83244   39      68.4211 %
6    77  38.428    0.209936    2.39506   39      68.4211 %
6    78  38.366    0.235894    2.69119   39      68.4211 %
6    79  38.588    0.186505    2.12775   39      68.4211 %
6    80  38.508    0.210688    2.40364   39      68.4211 %
6    81  38.714    0.136274    1.55468   39      68.4211 %
6    82  38.368    0.259285    2.95805   39      68.4211 %
6    83  38.752    0.124163    1.41651   39      68.4211 %
6    84  38.226    0.298772    3.40854   39      68.4211 %
6    85  38.386    0.245755    2.8037    39      68.4211 %
6    86  38.598    0.179483    2.04763   39      68.4211 %
6    87  38.806    0.128126    1.46172   39      68.4211 %
6    88  38.474    0.221855    2.53103   39      68.4211 %
6    89  38.514    0.211925    2.41775   39      68.4211 %
6    90  38.39     0.242426    2.76572   39      68.4211 %
6    91  38.428    0.235187    2.68314   39      68.4211 %
6    92  38.586    0.182507    2.08213   39      68.4211 %
6    93  38.42     0.236798    2.70152   39      68.4211 %
6    94  38.516    0.203548    2.32218   39      68.4211 %
6    95  38.346    0.244267    2.78672   39      68.4211 %
6    96  38.34     0.24923     2.84334   39      68.4211 %
6    97  38.636    0.170307    1.94295   39      68.4211 %
6    98  38.57     0.198325    2.2626    39      68.4211 %
6    99  38.292    0.272405    3.10774   39      68.4211 %
6    100 38.284    0.271395    3.09621   39      68.4211 %
