Run  RI  Mean      95% CI      SD        Best    % Correct 
22   0   14.5      0.48768     3.51879   25      43.8596 %
22   1   24.15     0.219575    1.58431   27      47.3684 %
22   2   27.875    0.163772    1.18168   32      56.1404 %
22   3   31.675    0.269394    1.94378   34      59.6491 %
22   4   33.765    0.13106     0.945646  35      61.4035 %
22   5   15.885    0.96613     6.97099   36      63.1579 %
22   6   34.89     0.236522    1.70659   36      63.1579 %
22   7   35.46     0.295666    2.13334   37      64.9123 %
22   8   36.385    0.339959    2.45293   37      64.9123 %
22   9   37.055    0.189081    1.36429   38      66.6667 %
22   10  16.51     1.10132     7.94642   38      66.6667 %
22   11  37.365    0.354279    2.55626   38      66.6667 %
22   12  37.715    0.260816    1.88188   39      68.4211 %
22   13  38.495    0.270488    1.95167   40      70.1754 %
22   14  39.075    0.261392    1.88604   40      70.1754 %
22   15  16.57     1.12743     8.13486   40      70.1754 %
22   16  39.23     0.417911    3.01539   40      70.1754 %
22   17  38.7      0.548772    3.95959   40      70.1754 %
22   18  39.595    0.233775    1.68677   40      70.1754 %
22   19  39.445    0.318565    2.29856   40      70.1754 %
22   20  16.67     1.17617     8.48653   40      70.1754 %
22   21  38.9      0.509176    3.67389   40      70.1754 %
22   22  39.575    0.243617    1.75779   40      70.1754 %
22   23  39.325    0.30691     2.21447   40      70.1754 %
22   24  39.3      0.344562    2.48614   40      70.1754 %
22   25  17.065    1.1538      8.3251    40      70.1754 %
22   26  39.265    0.386664    2.78993   41      71.9298 %
22   27  40.01     0.48748     3.51735   41      71.9298 %
22   28  40.3      0.445044    3.21116   42      73.6842 %
22   29  41.07     0.500285    3.60974   42      73.6842 %
22   30  16.85     1.23319     8.89794   42      73.6842 %
22   31  41.155    0.506724    3.6562    42      73.6842 %
22   32  41.215    0.389995    2.81396   42      73.6842 %
22   33  41.045    0.480562    3.46743   42      73.6842 %
22   34  41.4      0.336913    2.43096   42      73.6842 %
22   35  17.41     1.23291     8.89593   42      73.6842 %
22   36  41.27     0.414432    2.99029   42      73.6842 %
22   37  41.11     0.432682    3.12196   42      73.6842 %
22   38  41.335    0.345758    2.49477   42      73.6842 %
22   39  41.38     0.353565    2.55111   42      73.6842 %
22   40  16.875    1.17821     8.50122   42      73.6842 %
22   41  41.205    0.426957    3.08065   42      73.6842 %
22   42  40.99     0.552975    3.98992   42      73.6842 %
22   43  40.635    0.636582    4.59318   42      73.6842 %
22   44  41.025    0.5085      3.66902   42      73.6842 %
22   45  16.685    1.21552     8.77043   42      73.6842 %
22   46  41.185    0.421217    3.03924   42      73.6842 %
22   47  41.165    0.478646    3.45361   42      73.6842 %
22   48  41.455    0.309996    2.23674   42      73.6842 %
22   49  41.44     0.357118    2.57674   42      73.6842 %
22   50  17.04     1.21387     8.75854   42      73.6842 %
22   51  41.195    0.446711    3.22318   42      73.6842 %
22   52  41.205    0.38134     2.75151   42      73.6842 %
22   53  41.27     0.413733    2.98524   42      73.6842 %
22   54  41.015    0.458605    3.30901   42      73.6842 %
22   55  17.005    1.23989     8.94624   42      73.6842 %
22   56  41.07     0.485003    3.49948   42      73.6842 %
22   57  41.34     0.388647    2.80423   42      73.6842 %
22   58  41.265    0.354361    2.55685   42      73.6842 %
22   59  41.195    0.428626    3.0927    42      73.6842 %
22   60  16.945    1.21771     8.78624   42      73.6842 %
22   61  41.435    0.365912    2.64019   42      73.6842 %
22   62  41.58     0.322977    2.3304    42      73.6842 %
22   63  41.04     0.47359     3.41713   42      73.6842 %
22   64  41.365    0.348234    2.51264   42      73.6842 %
22   65  16.975    1.23863     8.93721   42      73.6842 %
22   66  41.435    0.338507    2.44246   42      73.6842 %
22   67  41.075    0.45511     3.28379   42      73.6842 %
22   68  40.67     0.633379    4.57007   42      73.6842 %
22   69  41.22     0.409618    2.95555   42      73.6842 %
22   70  16.81     1.20024     8.66019   42      73.6842 %
22   71  41.21     0.400668    2.89097   42      73.6842 %
22   72  40.935    0.51653     3.72696   42      73.6842 %
22   73  41.31     0.352699    2.54485   42      73.6842 %
22   74  41.265    0.431495    3.1134    42      73.6842 %
22   75  17.365    1.20312     8.68093   42      73.6842 %
22   76  41.405    0.373876    2.69766   42      73.6842 %
22   77  41.565    0.295254    2.13037   42      73.6842 %
22   78  41.05     0.444339    3.20607   42      73.6842 %
22   79  41.525    0.312211    2.25272   42      73.6842 %
22   80  41.33     0.383816    2.76938   42      73.6842 %
22   81  41.49     0.304401    2.19637   42      73.6842 %
22   82  41.16     0.428343    3.09066   42      73.6842 %
22   83  41.18     0.431558    3.11385   42      73.6842 %
22   84  41.255    0.393474    2.83906   42      73.6842 %
22   85  41.4      0.365496    2.63719   42      73.6842 %
22   86  40.975    0.481392    3.47343   42      73.6842 %
22   87  41.305    0.428514    3.09189   42      73.6842 %
22   88  40.91     0.55301     3.99018   42      73.6842 %
22   89  41.6      0.246986    1.7821    42      73.6842 %
22   90  40.685    0.598184    4.31612   42      73.6842 %
22   91  41.26     0.374944    2.70536   42      73.6842 %
22   92  41.27     0.364626    2.63091   42      73.6842 %
22   93  40.8      0.577566    4.16735   42      73.6842 %
22   94  41.12     0.448191    3.23387   42      73.6842 %
22   95  41.235    0.40052     2.8899    42      73.6842 %
22   96  41.375    0.33989     2.45244   42      73.6842 %
22   97  41.63     0.265559    1.9161    42      73.6842 %
22   98  41.235    0.431383    3.11259   42      73.6842 %
22   99  41.36     0.299945    2.16421   42      73.6842 %
22   100 41.285    0.348843    2.51703   42      73.6842 %
