Run  RI  Mean      95% CI      SD        Best    % Correct 
28   0   14.176    0.2898      3.30619   24      42.1053 %
28   1   22.112    0.16082     1.83472   27      47.3684 %
28   2   24.536    0.211031    2.40755   28      49.1228 %
28   3   26.398    0.234315    2.67318   29      50.8772 %
28   4   26.986    0.237937    2.71451   30      52.6316 %
28   5   28.148    0.227081    2.59066   33      57.8947 %
28   6   29.478    0.284498    3.2457    35      61.4035 %
28   7   31.218    0.303064    3.45751   36      63.1579 %
28   8   32.102    0.370843    4.23077   36      63.1579 %
28   9   33.11     0.452409    5.16132   36      63.1579 %
28   10  32.952    0.434243    4.95407   36      63.1579 %
28   11  33.17     0.438086    4.99791   36      63.1579 %
28   12  32.664    0.469324    5.35429   36      63.1579 %
28   13  33.008    0.443073    5.0548    36      63.1579 %
28   14  32.742    0.470997    5.37338   36      63.1579 %
28   15  33.636    0.401925    4.58536   36      63.1579 %
28   16  33.31     0.425107    4.84984   37      64.9123 %
28   17  33.23     0.44878     5.11991   37      64.9123 %
28   18  33.54     0.485588    5.53984   38      66.6667 %
28   19  34.282    0.465465    5.31026   38      66.6667 %
28   20  35.34     0.464587    5.30024   39      68.4211 %
28   21  34.938    0.493995    5.63575   39      68.4211 %
28   22  35.668    0.516095    5.88788   39      68.4211 %
28   23  35.946    0.502072    5.72789   39      68.4211 %
28   24  35.602    0.514286    5.86723   39      68.4211 %
28   25  35.182    0.563414    6.42771   39      68.4211 %
28   26  36.1      0.479571    5.47119   39      68.4211 %
28   27  35.726    0.517207    5.90056   39      68.4211 %
28   28  35.316    0.545497    6.22331   39      68.4211 %
28   29  35.662    0.501279    5.71884   39      68.4211 %
28   30  35.44     0.541974    6.18311   39      68.4211 %
28   31  35.324    0.550183    6.27677   39      68.4211 %
28   32  34.942    0.543337    6.19867   39      68.4211 %
28   33  35.406    0.552376    6.30179   39      68.4211 %
28   34  36        0.489973    5.58986   39      68.4211 %
28   35  35.81     0.526493    6.0065    39      68.4211 %
28   36  35.538    0.515728    5.88369   39      68.4211 %
28   37  35.386    0.511715    5.83791   39      68.4211 %
28   38  35.678    0.503658    5.74599   39      68.4211 %
28   39  35.884    0.501945    5.72644   39      68.4211 %
28   40  35.12     0.555382    6.33608   39      68.4211 %
28   41  35.116    0.529501    6.04082   39      68.4211 %
28   42  35.714    0.523724    5.97491   39      68.4211 %
28   43  35.526    0.526635    6.00812   39      68.4211 %
28   44  35.306    0.539453    6.15436   39      68.4211 %
28   45  35.536    0.502728    5.73537   39      68.4211 %
28   46  35.624    0.511125    5.83118   39      68.4211 %
28   47  35.686    0.493475    5.62981   39      68.4211 %
28   48  35.488    0.535424    6.10839   39      68.4211 %
28   49  35.684    0.504008    5.74998   39      68.4211 %
28   50  35.392    0.532833    6.07884   39      68.4211 %
28   51  36.246    0.457415    5.21842   39      68.4211 %
28   52  35.036    0.552805    6.30668   39      68.4211 %
28   53  35.51     0.52938     6.03944   39      68.4211 %
28   54  35.216    0.556156    6.34491   40      70.1754 %
28   55  36.422    0.507841    5.79371   40      70.1754 %
28   56  36.556    0.517712    5.90632   40      70.1754 %
28   57  36.44     0.495522    5.65317   40      70.1754 %
28   58  36.48     0.544462    6.2115    40      70.1754 %
28   59  36.616    0.526951    6.01172   40      70.1754 %
28   60  36.572    0.52084     5.94201   40      70.1754 %
28   61  36.402    0.523696    5.9746    40      70.1754 %
28   62  36.786    0.522164    5.95711   40      70.1754 %
28   63  36.114    0.567554    6.47494   40      70.1754 %
28   64  35.924    0.562603    6.41846   40      70.1754 %
28   65  36.374    0.531472    6.0633    40      70.1754 %
28   66  36.548    0.537705    6.13441   40      70.1754 %
28   67  35.716    0.559041    6.37783   40      70.1754 %
28   68  36.64     0.504178    5.75192   40      70.1754 %
28   69  36.378    0.555503    6.33746   40      70.1754 %
28   70  36.95     0.512005    5.84121   40      70.1754 %
28   71  36.628    0.519662    5.92857   40      70.1754 %
28   72  35.918    0.574767    6.55723   40      70.1754 %
28   73  36.654    0.523828    5.97609   40      70.1754 %
28   74  36.588    0.529034    6.03549   40      70.1754 %
28   75  36.292    0.53081     6.05575   40      70.1754 %
28   76  36.32     0.579026    6.60582   40      70.1754 %
28   77  36.554    0.522686    5.96307   40      70.1754 %
28   78  36.628    0.541257    6.17494   40      70.1754 %
28   79  36.75     0.513476    5.858     40      70.1754 %
28   80  36.258    0.568952    6.49089   40      70.1754 %
28   81  36.712    0.530333    6.05031   40      70.1754 %
28   82  36.788    0.520738    5.94085   40      70.1754 %
28   83  36.874    0.524414    5.98278   40      70.1754 %
28   84  36.722    0.50144     5.72068   40      70.1754 %
28   85  37.006    0.476025    5.43074   40      70.1754 %
28   86  36.524    0.509789    5.81593   40      70.1754 %
28   87  36.114    0.564343    6.43832   40      70.1754 %
28   88  36.426    0.534954    6.10303   40      70.1754 %
28   89  36.138    0.575568    6.56637   40      70.1754 %
28   90  36.884    0.499176    5.69486   40      70.1754 %
28   91  36.282    0.517977    5.90934   40      70.1754 %
28   92  36.77     0.513248    5.8554    40      70.1754 %
28   93  36.904    0.493938    5.63509   40      70.1754 %
28   94  36.376    0.549872    6.27322   40      70.1754 %
28   95  36.242    0.526124    6.00229   40      70.1754 %
28   96  36.704    0.519475    5.92643   40      70.1754 %
28   97  36.64     0.499823    5.70223   40      70.1754 %
28   98  36.706    0.519113    5.92231   40      70.1754 %
28   99  36.542    0.521544    5.95005   40      70.1754 %
28   100 36.84     0.511274    5.83288   40      70.1754 %
